# s W_0 W_1 W_2 W_3 W_4 W_5 W_6 W_7 W_8
15.311900 0.972529 0.015098 -0.006191 -0.000386 0.027959 0.003022 -0.036115 -0.003534 0.066887
15.668500 0.969281 0.015305 0.012980 0.000307 0.005533 0.000389 -0.011774 0.000275 -0.036268
16.033500 0.971976 0.015763 0.004182 0.000105 0.000851 -0.000198 0.018378 -0.002237 0.094552
16.407000 0.970252 0.016105 -0.000605 -0.000004 -0.002743 -0.000602 0.001259 -0.000269 0.047756
16.789200 0.973501 0.016556 -0.002021 0.000044 0.000160 -0.000453 0.010107 0.001061 -0.014353
17.180200 0.966097 0.016778 0.004937 -0.000109 0.021531 0.000286 0.094854 0.002638 0.043040
17.580400 0.963488 0.017104 0.010942 0.000180 0.011334 0.000100 0.042854 0.000351 0.032233
17.989900 0.970194 0.017628 0.010491 0.000029 0.017283 0.002999 -0.058353 -0.001587 -0.011803
18.408900 0.965363 0.017963 0.005142 0.000140 0.006867 0.000702 -0.014829 -0.000863 0.024131
18.837700 0.963525 0.018355 0.005874 0.000009 0.016538 0.001592 -0.004503 -0.000508 0.003630
19.276500 0.960049 0.018726 0.000991 -0.000064 0.010691 0.001291 -0.002945 -0.000229 0.005078
19.725500 0.965400 0.019258 0.005358 0.000065 0.010391 0.000170 0.034031 0.001603 0.015032
20.185000 0.957766 0.019570 0.000468 -0.000117 0.015579 0.002027 -0.016523 -0.000685 0.013156
20.655200 0.957796 0.019993 0.004859 -0.000050 0.020584 0.003627 -0.059266 -0.001518 -0.030864
21.136300 0.956306 0.020452 0.001050 -0.000008 0.010442 0.001275 -0.007785 -0.000849 0.026484
21.628600 0.955541 0.020928 -0.004812 -0.000210 0.012748 0.001069 0.012438 -0.000077 0.014230
22.132400 0.957664 0.021442 0.000445 -0.000020 0.008773 0.000009 0.035464 -0.000464 0.052178
22.647900 0.953107 0.021851 -0.001623 -0.000093 0.009956 0.000872 -0.007062 -0.001130 0.039932
23.175500 0.951856 0.022358 -0.003391 -0.000297 0.017437 0.002063 0.007848 0.000373 -0.008022
23.715300 0.952148 0.022848 -0.000065 -0.000193 0.016757 0.002123 0.004474 0.000686 -0.011098
24.267700 0.949640 0.023304 0.003184 -0.000067 0.016183 0.001429 0.018320 0.000322 0.027739
24.833000 0.948783 0.023820 0.004894 -0.000018 0.019457 0.002450 -0.008278 -0.000595 0.003445
25.411400 0.944170 0.024268 0.001854 -0.000097 0.013469 0.002146 -0.007020 -0.001408 0.027388
26.003300 0.943312 0.024771 0.008731 0.000180 0.012206 0.001840 -0.001300 -0.000953 0.024904
26.609000 0.944618 0.025423 0.002682 -0.000175 0.022325 0.002102 0.033385 -0.000606 0.060721
27.228800 0.941478 0.025915 0.002302 -0.000206 0.024376 0.002565 0.025369 0.000602 0.020209
27.863100 0.939302 0.026502 -0.001638 -0.000275 0.019803 0.003590 -0.015014 -0.003056 0.041155
28.512100 0.940196 0.027103 0.003869 -0.000054 0.014966 0.002119 0.007993 -0.001013 0.041235
29.176200 0.938503 0.027720 -0.003383 -0.000306 0.018081 0.003433 -0.019228 -0.001997 0.019013
29.855800 0.937839 0.028325 0.001160 -0.000194 0.019089 0.002743 0.013199 -0.000588 0.022365
30.551200 0.934569 0.028878 0.000680 -0.000240 0.021767 0.004156 -0.011237 -0.002239 0.027484
31.262900 0.932894 0.029494 0.003981 -0.000036 0.016892 0.002065 0.011891 -0.000573 0.029770
31.991100 0.931425 0.030153 -0.003249 -0.000261 0.014969 0.002832 -0.006251 -0.001802 0.021947
32.736200 0.927992 0.030762 -0.003067 -0.000405 0.022861 0.003473 0.000703 -0.000901 0.026984
33.498800 0.929311 0.031503 -0.000915 -0.000295 0.021491 0.004015 -0.010180 -0.002539 0.030829
34.279100 0.923100 0.032006 0.001752 -0.000321 0.025014 0.005640 -0.022794 -0.004009 0.040317
35.077500 0.924225 0.032806 -0.001803 -0.000425 0.023787 0.003555 0.020431 0.000778 0.020181
35.894600 0.922393 0.033498 -0.000258 -0.000298 0.020929 0.003523 0.008087 -0.000809 0.032872
36.730700 0.920346 0.034228 -0.002728 -0.000415 0.020331 0.003794 -0.003379 -0.001409 0.029265
37.586200 0.918219 0.034926 -0.000350 -0.000285 0.019821 0.003730 0.000558 -0.000529 0.015745
38.461700 0.916299 0.035657 0.001267 -0.000247 0.021204 0.004146 -0.001690 -0.002385 0.040868
39.357600 0.913966 0.036419 -0.002508 -0.000539 0.025936 0.005437 -0.003251 -0.001295 0.024309
40.274400 0.909919 0.037082 -0.000548 -0.000373 0.022415 0.005221 -0.013215 -0.002696 0.028431
