# s W_0 W_1 W_2 W_3 W_4
7.852360 0.992976 0.005914 -0.002136 -0.000015 0.000154
7.943280 0.992820 0.005982 -0.002184 -0.000015 0.000161
8.035260 0.992664 0.006051 -0.002233 -0.000016 0.000168
8.128310 0.992504 0.006120 -0.002283 -0.000017 0.000176
8.222430 0.992339 0.006190 -0.002334 -0.000017 0.000183
8.317640 0.992174 0.006261 -0.002386 -0.000018 0.000192
8.413950 0.992004 0.006333 -0.002440 -0.000018 0.000200
8.511380 0.991830 0.006406 -0.002494 -0.000019 0.000210
8.609940 0.991651 0.006479 -0.002550 -0.000020 0.000219
8.709640 0.991473 0.006553 -0.002607 -0.000020 0.000229
8.810490 0.991289 0.006628 -0.002665 -0.000021 0.000239
8.912510 0.991101 0.006704 -0.002724 -0.000022 0.000250
9.015710 0.990909 0.006781 -0.002785 -0.000022 0.000261
9.120110 0.990717 0.006859 -0.002847 -0.000023 0.000273
9.225710 0.990515 0.006937 -0.002910 -0.000024 0.000285
9.332540 0.990313 0.007017 -0.002974 -0.000025 0.000298
9.440610 0.990107 0.007097 -0.003040 -0.000026 0.000311
9.549930 0.989896 0.007178 -0.003107 -0.000027 0.000325
9.660510 0.989686 0.007260 -0.003176 -0.000027 0.000340
9.772370 0.989466 0.007343 -0.003246 -0.000028 0.000355
9.885530 0.989241 0.007427 -0.003318 -0.000029 0.000371
10.000000 0.989017 0.007512 -0.003391 -0.000030 0.000387
10.115800 0.988783 0.007598 -0.003465 -0.000031 0.000404
10.232900 0.988549 0.007684 -0.003541 -0.000033 0.000422
10.351400 0.988311 0.007772 -0.003619 -0.000034 0.000441
10.471300 0.988068 0.007861 -0.003698 -0.000035 0.000460
10.592500 0.987816 0.007951 -0.003779 -0.000036 0.000481
10.715200 0.987564 0.008041 -0.003861 -0.000037 0.000502
10.839300 0.987307 0.008133 -0.003945 -0.000038 0.000524
10.964800 0.987046 0.008226 -0.004031 -0.000040 0.000547
11.091700 0.986780 0.008319 -0.004119 -0.000041 0.000571
11.220200 0.986506 0.008414 -0.004208 -0.000043 0.000596
11.350100 0.986231 0.008510 -0.004299 -0.000044 0.000622
11.481500 0.985951 0.008607 -0.004392 -0.000045 0.000649
11.614500 0.985662 0.008705 -0.004487 -0.000047 0.000677
11.749000 0.985374 0.008804 -0.004584 -0.000049 0.000706
11.885000 0.985081 0.008904 -0.004682 -0.000050 0.000737
