# s W_0 W_1 W_2 W_3 W_4 W_5 W_6 W_7 W_8
16.033500 0.978466 0.015789 -0.011171 -0.000236 -0.000391 0.000279 -0.032610 -0.001029 0.025554
16.407000 0.976305 0.016082 -0.005077 -0.000127 0.006296 0.001299 0.002978 -0.001201 0.029422
16.789200 0.975846 0.016462 -0.003138 -0.000147 0.006619 0.002196 -0.023574 0.000184 -0.029738
17.180200 0.974314 0.016821 -0.005018 -0.000214 0.013618 0.003834 -0.028684 -0.000927 0.021265
17.580400 0.975806 0.017208 0.001525 -0.000025 0.008327 0.002794 -0.065737 -0.001190 -0.026798
17.989900 0.976259 0.017645 -0.006248 -0.000215 0.013337 0.003110 0.005689 -0.004426 0.145222
18.408900 0.974768 0.018016 -0.000752 -0.000035 0.007202 0.001831 -0.011396 0.001239 -0.065105
18.837700 0.973579 0.018429 -0.005167 -0.000157 0.007223 0.002142 0.000315 0.000093 0.001698
19.276500 0.974498 0.018884 -0.006947 -0.000178 0.005730 0.001053 -0.001714 -0.000653 0.070954
19.725500 0.971941 0.019304 -0.013224 -0.000346 0.008444 0.001510 -0.001599 -0.002031 0.094867
20.185000 0.971445 0.019738 -0.013528 -0.000453 0.015219 0.004969 -0.043566 -0.000997 -0.030354
20.655200 0.971984 0.020188 -0.007437 -0.000250 0.009786 0.002554 0.011146 0.001156 -0.006665
21.136300 0.969586 0.020594 -0.005714 -0.000299 0.017222 0.004977 0.003544 0.000711 -0.026778
21.628600 0.966300 0.020983 -0.001177 -0.000022 0.004740 0.002457 -0.045850 -0.003095 0.044981
22.132400 0.965909 0.021503 -0.010811 -0.000417 0.013506 0.003096 0.026881 0.000757 0.028316
22.647900 0.967185 0.022045 -0.012150 -0.000479 0.013397 0.005035 -0.018462 -0.001130 0.033631
23.175500 0.968039 0.022595 -0.014111 -0.000497 0.016163 0.005127 -0.018354 -0.001622 0.022225
23.715300 0.964343 0.023024 -0.013162 -0.000440 0.011334 0.002708 0.014048 0.000187 0.031327
24.267700 0.963106 0.023514 -0.009049 -0.000352 0.011963 0.005136 -0.037017 -0.000337 -0.049322
24.833000 0.961712 0.024033 -0.012094 -0.000452 0.012465 0.004229 -0.002058 -0.003409 0.078797
25.411400 0.963869 0.024652 -0.010812 -0.000508 0.015612 0.005227 0.008403 -0.000773 0.045074
26.003300 0.961970 0.025187 -0.014240 -0.000498 0.012457 0.004252 -0.021365 -0.003061 0.054009
26.609000 0.960003 0.025719 -0.011382 -0.000441 0.011051 0.003886 -0.010836 -0.002040 0.042075
27.228800 0.959933 0.026302 -0.010407 -0.000528 0.016389 0.006192 0.001931 -0.001684 0.042290
27.863100 0.957786 0.026894 -0.017237 -0.000659 0.011046 0.004526 -0.018041 -0.005233 0.069114
28.512100 0.957583 0.027535 -0.019385 -0.000770 0.013387 0.004456 0.004475 -0.002651 0.072973
29.176200 0.955795 0.028070 -0.012809 -0.000634 0.017168 0.006676 0.004094 -0.002741 0.073419
29.855800 0.953660 0.028680 -0.016606 -0.000744 0.014505 0.007710 -0.058918 -0.005778 0.046859
30.551200 0.954787 0.029387 -0.014017 -0.000674 0.015100 0.006164 -0.015525 -0.002065 0.039475
31.262900 0.952595 0.030016 -0.016730 -0.000868 0.020531 0.009118 -0.024459 -0.004668 0.077426
